algo,env_steps,pi_optimal
reinforce,2000,0.510000
reinforce,4000,0.530000
reinforce,6000,0.570000
reinforce,8000,0.460000
reinforce,10000,0.520000
reinforce,12000,0.580000
reinforce,14000,0.620000
reinforce,16000,0.610000
reinforce,18000,0.560000
reinforce,20000,0.630000
reinforce,22000,0.590000
reinforce,24000,0.630000
reinforce,26000,0.660000
reinforce,28000,0.580000
reinforce,30000,0.690000
reinforce,32000,0.670000
reinforce,34000,0.690000
reinforce,36000,0.660000
reinforce,38000,0.660000
reinforce,40000,0.720000
reinforce,42000,0.810000
reinforce,44000,0.760000
reinforce,46000,0.720000
reinforce,48000,0.760000
reinforce,50000,0.710000
reinforce,52000,0.710000
reinforce,54000,0.770000
reinforce,56000,0.730000
reinforce,58000,0.770000
reinforce,60000,0.790000
trpo,2000,0.930000
trpo,4000,1.000000
trpo,6000,0.940000
trpo,8000,1.000000
trpo,10000,1.000000
trpo,12000,1.000000
trpo,14000,0.970000
trpo,16000,1.000000
trpo,18000,0.960000
trpo,20000,1.000000
trpo,22000,0.940000
trpo,24000,1.000000
trpo,26000,1.000000
trpo,28000,0.930000
trpo,30000,1.000000
trpo,32000,0.920000
trpo,34000,1.000000
trpo,36000,0.900000
trpo,38000,0.990000
trpo,40000,1.000000
trpo,42000,1.000000
trpo,44000,0.960000
trpo,46000,1.000000
trpo,48000,0.930000
trpo,50000,1.000000
trpo,52000,1.000000
trpo,54000,1.000000
trpo,56000,0.990000
trpo,58000,1.000000
trpo,60000,1.000000
cleanba_ppo,2000,0.540000
cleanba_ppo,4000,0.520000
cleanba_ppo,6000,0.490000
cleanba_ppo,8000,0.550000
cleanba_ppo,10000,0.460000
cleanba_ppo,12000,0.580000
cleanba_ppo,14000,0.510000
cleanba_ppo,16000,0.550000
cleanba_ppo,18000,0.530000
cleanba_ppo,20000,0.590000
cleanba_ppo,22000,0.530000
cleanba_ppo,24000,0.570000
cleanba_ppo,26000,0.640000
cleanba_ppo,28000,0.520000
cleanba_ppo,30000,0.580000
cleanba_ppo,32000,0.520000
cleanba_ppo,34000,0.580000
cleanba_ppo,36000,0.570000
cleanba_ppo,38000,0.630000
cleanba_ppo,40000,0.550000
cleanba_ppo,42000,0.630000
cleanba_ppo,44000,0.590000
cleanba_ppo,46000,0.660000
cleanba_ppo,48000,0.590000
cleanba_ppo,50000,0.630000
cleanba_ppo,52000,0.570000
cleanba_ppo,54000,0.590000
cleanba_ppo,56000,0.560000
cleanba_ppo,58000,0.600000
cleanba_ppo,60000,0.630000
pc_reinforce,2000,0.495000
pc_reinforce,4000,0.520000
pc_reinforce,6000,0.485000
pc_reinforce,8000,0.510000
pc_reinforce,10000,0.595000
pc_reinforce,12000,0.555000
pc_reinforce,14000,0.625000
pc_reinforce,16000,0.605000
pc_reinforce,18000,0.590000
pc_reinforce,20000,0.620000
pc_reinforce,22000,0.700000
pc_reinforce,24000,0.680000
pc_reinforce,26000,0.810000
pc_reinforce,28000,0.795000
pc_reinforce,30000,0.825000
pc_reinforce,32000,0.875000
pc_reinforce,34000,0.875000
pc_reinforce,36000,0.875000
pc_reinforce,38000,0.885000
pc_reinforce,40000,0.855000
pc_reinforce,42000,0.925000
pc_reinforce,44000,0.945000
pc_reinforce,46000,0.950000
pc_reinforce,48000,0.965000
pc_reinforce,50000,0.965000
pc_reinforce,52000,0.980000
pc_reinforce,54000,0.980000
pc_reinforce,56000,0.985000
pc_reinforce,58000,0.970000
pc_reinforce,60000,0.980000
pc_actor_critic,2000,0.525000
pc_actor_critic,4000,0.630000
pc_actor_critic,6000,0.685000
pc_actor_critic,8000,0.725000
pc_actor_critic,10000,0.755000
pc_actor_critic,12000,0.780000
pc_actor_critic,14000,0.855000
pc_actor_critic,16000,0.875000
pc_actor_critic,18000,0.905000
pc_actor_critic,20000,0.905000
pc_actor_critic,22000,0.930000
pc_actor_critic,24000,0.975000
pc_actor_critic,26000,0.965000
pc_actor_critic,28000,0.975000
pc_actor_critic,30000,0.980000
pc_actor_critic,32000,0.980000
pc_actor_critic,34000,0.985000
pc_actor_critic,36000,0.995000
pc_actor_critic,38000,1.000000
pc_actor_critic,40000,1.000000
pc_actor_critic,42000,1.000000
pc_actor_critic,44000,0.990000
pc_actor_critic,46000,1.000000
pc_actor_critic,48000,1.000000
pc_actor_critic,50000,1.000000
pc_actor_critic,52000,1.000000
pc_actor_critic,54000,1.000000
pc_actor_critic,56000,1.000000
pc_actor_critic,58000,1.000000
pc_actor_critic,60000,1.000000
